product_name,supplier_item_code,detail_url,image_url,page_number,taxonomy_label,match_type,match_confidence
Farola Derecha Para Mazda 323 Modelos 1988 A 2004 Tyc,3178,https://www.partcar.com.co/importacion-1/farola-mazda-323-1988%E2%80%932004-derecha-tyc,https://www.autolatas.co/cat/3178.jpg,1,lighting_headlamps,category_only,medium
Farola Izquierda Para Mazda 323 Modelos 1988 A 2004 Tyc,3177,https://www.partcar.com.co/importacion-1/farola-mazda-323-1988%E2%80%932004-izquierda-tyc,https://www.autolatas.co/cat/3177.jpg,1,lighting_headlamps,category_only,medium
Farola Derecha Para Mazda 323 Modelos 1988 A 2004 Depo,3174,https://www.partcar.com.co/importacion-1/farola-mazda-323-1988%E2%80%932004-derecha-depo,https://www.autolatas.co/cat/3174.jpg,1,lighting_headlamps,category_only,medium
Farola Izquierda Para Mazda 323 Modelos 1988 A 2004 Depo,3173,https://www.partcar.com.co/importacion-1/farola-mazda-323-1988%E2%80%932004-izquierda-depo,https://www.autolatas.co/cat/3173.jpg,1,lighting_headlamps,category_only,medium
Farola Izquierda Para Mazda 323 Modelos 1986 A 1987 Depo,3171,https://www.partcar.com.co/importacion-1/farola-mazda-323-1986%E2%80%931987-izquierda-depo,https://www.autolatas.co/cat/3171.jpg,1,lighting_headlamps,category_only,medium
Farola Derecha Para Mazda 3 Modelos 2005 A 2012 Depo,3165,https://www.partcar.com.co/importacion-1/farola-mazda-3-2005%E2%80%932012-derecha-depo,https://www.autolatas.co/cat/3165.jpg,1,lighting_headlamps,category_only,medium
Farola Derecha Para Mazda 3 Modelos 2005 A 2012 Tyc,3163,https://www.partcar.com.co/importacion-1/farola-mazda-3-2005%E2%80%932012-derecha-tyc,https://www.autolatas.co/cat/3163.jpg,1,lighting_headlamps,category_only,medium
Farola Izquierda Para Mazda 3 Modelos 2005 A 2012 Tyc,3162,https://www.partcar.com.co/importacion-1/farola-mazda-3-2005%E2%80%932012-izquierda-tyc,https://www.autolatas.co/cat/3162.jpg,1,lighting_headlamps,category_only,medium
Farola Izquierdo Para Mitsubishi Montero Modelos 1983 A 2011 Depo,3157,https://www.partcar.com.co/importacion-1/farola-mitsubishi-montero-1983%E2%80%932011-izquierdo-depo,https://www.autolatas.co/cat/3157.jpg,1,lighting_headlamps,category_only,medium
Farola Izquierdo Para Mitsubishi Lancer Modelos 2004 A 2008 Depo,3153,https://www.partcar.com.co/importacion-1/farola-mitsubishi-lancer-2004%E2%80%932008-izquierdo-depo,https://www.autolatas.co/cat/3153.jpg,1,lighting_headlamps,category_only,medium
