provider_id,provider_name,snapshot_date,item_type,provider_type,product_name,product_url,category_name,subcategory_name,brand,description,vehicle_scope,source_page_url,page_number,match_type,match_confidence,requires_manual_confirmation,searchable_tokens
,,,category,category_only,Bloques de motor,https://www.motorpartes.co/categoria-producto/bloques-de-motor/,Bloques de motor,,,,,https://www.motorpartes.co/categoria-producto/bloques-de-motor/,1,category_only,medium,True,bloques|motor
,,,product,product_catalog,Valvulas admision Daewoo Tico Matiz Spark F8 B10S,https://www.motorpartes.co/producto/valvulas-admision-daewoo-tico-matiz-spark-f8-b10s/,Valvulas,Admision,Daewoo,Producto con etiquetas y descripcion basica para verificacion parcial.,Daewoo Tico Matiz Spark,https://www.motorpartes.co/categoria-producto/valvulas/,1,vehicle_compatible,medium,True,valvulas|admision|daewoo|tico|matiz|spark|f8|b10s
