item_type,provider_type,title,product_name,detail_url,product_url,category_name,subcategory_name,brand,reference,sku,vehicle_scope,match_type,match_confidence
category,category_only,Portafolio,,https://latiendadelrepuesto.com/portafolio/,,Portafolio,,,,,,category_only,medium
category,category_only,Caja y Transmisión vehículo,,https://latiendadelrepuesto.com/caja-y-transmision/,,Caja y Transmisión vehículo,,,,,,category_only,medium
category,category_only,"Amortiguadores Quinta puerta, Capó y Carroceras",,https://latiendadelrepuesto.com/accesorios/,,"Amortiguadores Quinta puerta, Capó y Carroceras",,,,,,category_only,medium
