product_id,product_name,product_url,price_current,price_original,brand,reference,sku,category_name,subcategory_name,match_type,match_confidence,requires_manual_confirmation
23306,Cable MULTIFLEX TC 600V 18 AWG – 10 AWG,https://parrales.com.co/product/cable-multiflex-tc-600v-18-awg-10-awg/,562000,600000,Centelsa Ref: 213930 Tensión de Operación: 600V Valor Rollo x100 metros,,213930,Cables Electricos,Awg,exact_reference,medium,False
23310,Cable MULTIFLEX TC 600V 18 AWG – 10 AWG,https://parrales.com.co/product/cable-multiflex-tc-600v-18-awg-10-awg-2/,744000,785000,"CENTELSA Ref: 213931 90°C en lugares secos, húmedos y mojados. Tensión de Operación 600V Valor correpondiente a rollo x 100","213931 90°C en lugares secos, húmedos y mojados. Tensión de Operación 600V Valor correpondiente a rollo x…",213931,Cables Electricos,Awg,exact_reference,high,False
23313,Cable MULTIFLEX TC 600V 18 AWG – 10 AWG,https://parrales.com.co/product/cable-multiflex-tc-600v-18-awg-10-awg-3/,437000,460000,"Centelsa Ref: 213929 90°C en lugares secos, húmedos y mojados. Tensión de Operación 600V","213929 90°C en lugares secos, húmedos y mojados. Tensión de Operación 600V",,Tapetes,Tapetes,exact_reference,high,False
,CABLE NO 10 AWG 105C 600V R1 NEGRO,https://parrales.com.co/product/cable-no-10-awg-105c-600v-r1-negro/,,120000,Centelsa Ref: 201641R1NG FLEXIPLUS AWM 105°C Cu 10 AWG (J) 600V tipo:FLEX. Monopolar,,,Cables Electricos,Awg,category_only,medium,True
23336,Cable Tipo Duplex Flexible 2X16,https://parrales.com.co/product/cable-tipo-duplex-flexible-2x16/,387000,410000,Centelsa Ref: 201529R1101 Clasificacion: Duplex,201529R1101,,Cables Electricos,Duplex,exact_reference,high,False
23340,Cable Tipo Duplex Flexible 2X18,https://parrales.com.co/product/cable-tipo-duplex-flexible-2x18/,253000,300000,,,201528R1101,Cables Electricos,Duplex,exact_reference,medium,False
23895,"Corneta 12V 110dB a Prueba de Agua – Modelo DL137J Black, 80mm, Alta Frecuencia",https://parrales.com.co/product/pito-corneta-12v-110db-prueba-a-gua-unidad-vkh-137-j/,35000,60000,VEKTRA REF: VKH-137-J EMPAQUE: UNIDAD VOLTAJE: 12V DECIBELES: 110DB,VKH-137-J,VKH-137-J,Pitos,Cornetas,exact_reference,high,False
23476,EXPLORADORA BARRA LED 22 PULG,https://parrales.com.co/product/exploradora-barra-led-22-pulg/,125000,150000,VEKTRA Ref: 42392 Origen: China Garantia: 1 año Potencia luminica: 1200 LM Color de luz: Blanco Voltaje: 10-30v,42392,,Iluminacion,Barras Led,exact_reference,high,False
23478,EXPLORADORA BARRA LED 25 PULG,https://parrales.com.co/product/exploradora-barra-led-25-pulg/,140000,168000,VEKTRA Ref: 42394-VK Modulos: 4 Origen: China Garantia: 1 año Potencia luminica: 1200 LM Color de luz: Blanco Voltaje: 10-30v,42394-VK,42394-VK,Iluminacion,Barras Led,exact_reference,high,False
23480,EXPLORADORA BARRA LED 30 PULG,https://parrales.com.co/product/exploradora-barra-led-30-pulg/,180000,220000,VEKTRA Ref: 42395-VK 5 modulos Origen: China Garantia: 1 año Potencia luminica: 1200 LM Color de luz: Blanco Voltaje: 10-30v,42395-VK 5 modulos,,Iluminacion,Barras Led,exact_reference,high,False
23389,EXPLORADORA BARRA LED 33 PULG,https://parrales.com.co/product/exploradora-barra-led-33-pulg/,185000,210000,VEKTRA Ref: 42396-VK Origen: China Garantia: 1 año Potencia luminica: 1200 LM Color de luz: Blanco Voltaje: 10-30v,42396-VK,42396-VK,Iluminacion,Barras Led,exact_reference,high,False
22782,FORRO PARA TIMON NEGRO AZUL (SWC08),https://parrales.com.co/product/forro-para-timon-negro-azul-swc08/,20594,,,SWC08,,Lujos Y Accesorios,Forros,exact_reference,high,False
22784,FORRO PARA TIMON NEGRO GRIS (SWC07),https://parrales.com.co/product/forro-para-timon-negro-gris-swc07/,20594,,,SWC07,,Lujos Y Accesorios,Forros,exact_reference,high,False
22786,FORRO PARA TIMON NEGRO ROJO (SWC06),https://parrales.com.co/product/forro-para-timon-negro-rojo-swc06/,20594,,,SWC06,,Lujos Y Accesorios,Forros,exact_reference,high,False
22768,Kit Bombillo Led H4 Altas Y Bajas Narva Original,https://parrales.com.co/product/bombillo-h4-12v_24v-led-6000k-juegox2/,180000,220000,Narva,,18032,Iluminacion,Bombillos Led,exact_reference,medium,False
