item_type,provider_type,title,product_name,detail_url,product_url,category_name,subcategory_name,brand,reference,sku,vehicle_scope,match_type,match_confidence
category,category_only,SOLUCIONES AUTOMOTRICES DE COLOMBIA 03 ORMOS,,https://www.imotriz.com/tienda/solucionesautomotrices/catalogo,,SOLUCIONES AUTOMOTRICES DE COLOMBIA 03 ORMOS,,,,,,category_only,medium
product,product_catalog,,"Disco Clutch Soul 1.6 Dohc - Marca Valeo 41100-32021, 4110032021, HD-154, HD154",https://www.imotriz.com/tienda/solucionesautomotrices/producto/41100-32021/Disco-Clutch-Soul-1-6-Dohc-Marca-Valeo,https://www.imotriz.com/tienda/solucionesautomotrices/producto/41100-32021/Disco-Clutch-Soul-1-6-Dohc-Marca-Valeo,,,VALEO,41100-32021,4110032021,Autos,vehicle_compatible,medium
category,category_only,SOLUCIONES AUTOMOTRICES DE COLOMBIA 03 ORMOS,,https://www.imotriz.com/tienda/solucionesautomotrices/home/page/cotizacion,,SOLUCIONES AUTOMOTRICES DE COLOMBIA 03 ORMOS,,,,,,category_only,medium
category,category_only,SOLUCIONES AUTOMOTRICES DE COLOMBIA 03 ORMOS,,https://www.imotriz.com/tienda/solucionesautomotrices/credit/page/solicitudCredito,,SOLUCIONES AUTOMOTRICES DE COLOMBIA 03 ORMOS,,,,,,category_only,medium
category,category_only,SOLUCIONES AUTOMOTRICES DE COLOMBIA 03 ORMOS,,https://www.imotriz.com/tienda/solucionesautomotrices/cart/page/index,,SOLUCIONES AUTOMOTRICES DE COLOMBIA 03 ORMOS,,,,,,category_only,medium
category,category_only,SOLUCIONES AUTOMOTRICES DE COLOMBIA 03 ORMOS,,https://www.imotriz.com/tienda/solucionesautomotrices/catalogo/catalog/v2,,SOLUCIONES AUTOMOTRICES DE COLOMBIA 03 ORMOS,,,,,,category_only,medium
product,product_catalog,,"Disco Clutch Soul 1.6 Dohc - Marca Valeo 41100-32021, 4110032021, HD-154, HD154",https://www.imotriz.com/producto/10/41100-32021/Disco-Clutch-Soul-1-6-Dohc-Marca-Valeo,https://www.imotriz.com/producto/10/41100-32021/Disco-Clutch-Soul-1-6-Dohc-Marca-Valeo,,,VALEO,41100-32021,4110032021,Autos,vehicle_compatible,medium
category,category_only,iMotriz Marketplace Autopartes,,https://www.imotriz.com/catalogo/catalog/v2,,iMotriz Marketplace Autopartes,,,,,,category_only,medium
