item_type,provider_type,title,product_name,detail_url,product_url,category_name,subcategory_name,brand,reference,sku,vehicle_scope,match_type,match_confidence
category,category_only,iMotriz Marketplace Autopartes,,https://www.imotriz.com/catalogo/page/results?search=HYUNDAI,,iMotriz Marketplace Autopartes,,,,,,category_only,medium
product,product_catalog,,"Contacto Airbag G/I10 93490-A4010+, 93490A4010",https://www.imotriz.com/producto/901/93490-A4010-/Contacto-Airbag-G-I10,https://www.imotriz.com/producto/901/93490-A4010-/Contacto-Airbag-G-I10,,,MISCELANEA KOREA ó marca de calidad similar,93490-A4010+,93490A4010,,vehicle_compatible,medium
category,category_only,iMotriz Marketplace Autopartes,,https://www.imotriz.com/catalogo/catalog/v2,,iMotriz Marketplace Autopartes,,,,,,category_only,medium
