provider_id,provider_name,snapshot_date,item_type,provider_type,product_name,product_url,category_name,subcategory_name,brand,description,vehicle_scope,source_page_url,page_number,match_type,match_confidence,requires_manual_confirmation,searchable_tokens
autorecambiosltda,Autorecambios LTDA,2026-06-26,category,category_only,,https://autorecambiosltda.com/repuestos-para-carros-y-camionetas/,Repuestos para carros y camionetas,,,"",,https://autorecambiosltda.com/repuestos-para-carros-y-camionetas/,1,category_only,medium,True,"repuestos|carros|camionetas"
autorecambiosltda,Autorecambios LTDA,2026-06-26,product,product_catalog,Tapa de tanque de combustible Fiesta Zetec,https://autorecambiosltda.com/producto/tapa-de-tanque-de-combustible-fiesta-zetec/,Sistema de combustible,Tapa de tanque,Ford,"Ficha descriptiva completa para verificación de compatibilidad.",Ford Fiesta Zetec,https://autorecambiosltda.com/repuestos-para-carros-y-camionetas/,1,vehicle_compatible,high,False,"tapa|tanque|combustible|fiesta|zetec|ford"
